,HISSE,INDUSTRY-19,SEKTOR-19,INDUSTRY-20,SEKTOR-20,INDUSTRY-21,SEKTOR-21,INDUSTRY-22,SEKTOR-22
76,SKBNK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
77,SODA,BIRLES,BIRLES,BIRLES,BIRLES,,,,
78,SOKM,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical
79,TATGD,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,,
80,TAVHL,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials
81,TCELL,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
82,THYAO,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials
83,TKFEN,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials
84,TMSN,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
85,TOASO,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
86,TRKCM,BIRLES,BIRLES,BIRLES,BIRLES,,,,
87,TSKB,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
88,TTKOM,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
89,TTRAK,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
90,TUPRS,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy
91,TURSG,Insurance/Property & Casualty,Financial Services,Insurance/Property & Casualty,Financial Services,Insurance/Property & Casualty,Financial Services,Insurance/Property & Casualty,Financial Services
92,ULKER,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive
93,VAKBN,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
94,VERUS,Asset Management,Financial Services,,,Asset Management,Financial Services,Asset Management,Financial Services
95,VESTL,Consumer Electronics,Technology,Consumer Electronics,Technology,Consumer Electronics,Technology,Consumer Electronics,Technology
"96,YATAS,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
97,YKBNK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
98,ZOREN,Utilities/Diversified,Utilities,Utilities/Diversified,Utilities,Utilities/Diversified,Utilities,Utilities/Diversified,Utilities
99,IEYHO,Textile Manufacturing,Consumer Cyclical,,,,,,
100,ISFIN,Credit Services,Financial Services,Credit Services,Financial Services,Credit Services,Financial Services,Credit Services,Financial Services
101,TSPOR,Broadcasting,Communication Services,,,,,Broadcasting,Communication Services
102,ADESE,Discount Stores,Consumer Defensive,,,,,Discount Stores,Consumer Defensive
103,AGHOL,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive
104,AVOD,Packaged Foods,Consumer Defensive,,,,,,
105,KONYA,Building Materials,Basic Materials,,,Building Materials,Basic Materials,,
106,TUKAS,Packaged Foods,Consumer Defensive,,,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive
107,DOAS,Auto & Truck Dealerships,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical
108,HLGYO,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,,
109,TRGYO,REIT/Retail,Real Estate,REIT/Retail,Real Estate,REIT/Retail,Real Estate,REIT/Retail,Real Estate
110,AKGRT,,,Insurance/Diversified,Financial Services,Insurance/Diversified,Financial Services,,
111,ALKIM,,,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials
112,ANHYT,,,Insurance/Life,Financial Services,,,,
113,AYGAZ,,,Utilities/Regulated Gas,Utilities,Utilities/Regulated Gas,Utilities,,
114,BIZIM,,,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,,
115,BRISA,,,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical
116,BRSAN,,,Steel,Basic Materials,Steel,Basic Materials,,
117,BTCIM,,,Building Materials,Basic Materials,,,,
118,BUCIM,,,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials
119,CIMSA,,,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials
120,ECZYT,,,Conglomerates,Industrials,Conglomerates,Industrials,,
121,ERBOS,,,Metal Fabrication,Industrials,Metal Fabrication,Industrials,Metal Fabrication,Industrials
122,ISMEN,,,Capital Markets,Financial Services,Capital Markets,Financial Services,Capital Markets,Financial Services
123,KAREL,,,Communication Equipment,Technology,,,,
124,KLMSN,,,Specialty Industrial Machinery,Industrials,,,,
125,LOGO,,,Software/Application,Technology,Software/Application,Technology,Software/Application,Technology
126,TRCAS,,,Utilities/Independent Power Producers,Utilities,,,,
127,AKCNS,,,Building Materials,Basic Materials,Building Materials,Basic Materials,,
128,OZKGY,,,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,,
129,RYGYO,,,REIT/Industrial,Real Estate,,,,
130,SELEC,,,Pharmaceutical Retailers,Healthcare,Pharmaceutical Retailers,Healthcare,Pharmaceutical Retailers,Healthcare
131,DOCO,,,Airports & Air Services,Industrials,,,,
132,OYAKC,,,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials
133,AKSGY,,,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,,
134,ALCTL,,,Communication Equipment,Technology,Communication Equipment,Technology,,
135,ARDYZ,,,Software/Infrastructure,Technology,Software/Infrastructure,Technology,Software/Infrastructure,Technology
136,PETUN,,,Packaged Foods,Consumer Defensive,,,,
137,PNSUT,,,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,,
138,EGGUB,,,,,Agricultural Inputs,Basic Materials,,
139,ESEN,,,,,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities
140,JANTS,,,,,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical
141,KRVGD,,,,,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive
142,NUHCM,,,,,Building Materials,Basic Materials,,
143,TKNSA,,,,,Specialty Retail,Consumer Cyclical,Specialty Retail,Consumer Cyclical
144,AFYON,,,,,Building Materials,Basic Materials,,
145,BRYAT,,,,,Steel,Basic Materials,Steel,Basic Materials
146,HDFGS,,,,,Asset Management,Financial Services,,
147,RTALB,,,,,Biotechnology,Healthcare,Biotechnology,Healthcare
"148,VESBE,,,,,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
149,AYDEM,,,,,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities
150,BIOEN,,,,,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities
151,CANTE,,,,,Utilities/Independent Power Producers,Utilities,Utilities/Independent Power Producers,Utilities
152,ISDMR,,,,,Steel,Basic Materials,Steel,Basic Materials
153,IZMDC,,,,,Steel,Basic Materials,Steel,Basic Materials
154,QUAGR,,,,,Building Products & Equipment,Industrials,Building Products & Equipment,Industrials
155,TRILC,,,,,Drug Manufacturers/Specialty & Generic,Healthcare,Drug Manufacturers/Specialty & Generic,Healthcare
156,ZRGYO,,,,,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate
157,BASGZ,,,,,,,Utilities/Regulated Gas,Utilities
158,GENIL,,,,,,,Drug Manufacturers/Specialty & Generic,Healthcare
159,GESAN,,,,,,,Engineering & Construction,Industrials
160,ARASE,,,,,,,Utilities/Independent Power Producers,Utilities
161,GWIND,,,,,,,Utilities/Renewable,Utilities
162,KONTR,,,,,,,Conglomerates,Industrials
"163,KUTPO,,,,,,,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
164,KZBGY,,,,,,,REIT/Hotel & Motel,Real Estate
165,NUGYO,,,,,,,REIT/Diversified,Real Estate
166,SNGYO,,,,,,,REIT/Residential,Real Estate
167,AKFGY,,,,,,,REIT/Hotel & Motel,Real Estate
168,BAGFS,,,,,,,Agricultural Inputs,Basic Materials
169,INVES,,,,,,,Asset Management,Financial Services
170,PSGYO,,,,,,,REIT/Diversified,Real Estate
171,PRKAB,,,,,,,Electrical Equipment & Parts,Industrials
172,SMRTG,,,,,,,Solar,Technology
173,YYLGD,,,,,,,Farm Products,Consumer Defensive
