,HISSE,INDUSTRY-1,SEKTOR-1,INDUSTRY-2,SEKTOR-2,INDUSTRY-3,SEKTOR-3,INDUSTRY-4,SEKTOR-4
104,KUTPO,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical
105,KZBGY,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate
106,NUGYO,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate
107,SNGYO,REIT—Residential,Real Estate,REIT—Residential,Real Estate,REIT—Residential,Real Estate,REIT—Residential,Real Estate
108,TRILC,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare
109,AKFGY,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate
110,ALBRK,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
111,BAGFS,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
112,BUCIM,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials
113,CEMTS,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
114,INVES,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
115,PSGYO,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate
116,PRKAB,Electrical Equipment & Parts,Industrials,Electrical Equipment & Parts,Industrials,Electrical Equipment & Parts,Industrials,Electrical Equipment & Parts,Industrials
117,SMRTG,Solar,Technology,Solar,Technology,Solar,Technology,Solar,Technology
118,TMSN,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
119,TSPOR,Broadcasting,Communication Services,Broadcasting,Communication Services,Broadcasting,Communication Services,Broadcasting,Communication Services
120,TUKAS,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive
121,YYLGD,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive
