,HISSE,Unnamed: 0,INDUSTRY-19,SEKTOR-19,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek
37,GENTS,31,Furnishings & Fixtures & Appliances,Consumer Cyclical,GENTS,34,GENTAŞ ,XU100,XU100,XU100,
38,GEREL,32,Electrical Equipment & Parts,Industrials,GEREL,35,GERSAN ELEKTRİK ,XU100,XU100,XU100,XU100
39,GLYHO,33,Conglomerates,Industrials,GLYHO,36,GLOBAL YAT. HOLDİNG ,XU100,XU100,,XU100
40,GOLTS,34,Building Materials,Basic Materials,GOLTS,38,GÖLTAŞ ÇİMENTO ,XU100,XU100,XU100,XU100
41,GOODY,35,Auto Parts,Consumer Cyclical,GOODY,37,GOOD-YEAR ,XU100,XU100,,
42,GOZDE,36,Asset Management,Financial Services,GOZDE,39,GÖZDE GİRİŞİM ,XU100,XU100,XU100,XU100
43,GSDHO,37,Asset Management,Financial Services,GSDHO,40,GSD HOLDİNG ,XU100,XU100,XU100,XU100
44,GSRAY,38,Entertainment,Communication Services,GSRAY,32,GALATASARAY SPORTİF ,XU100,XU100,XU100,XU100
45,GUBRF,39,Agricultural Inputs,Basic Materials,GUBRF,41,GÜBRE FABRİK. ,XU100,XU100,XU100,XU100
46,HALKB,40,Banks/Regional,Financial Services,GUSGR,110,GÜNEŞ SİGORTA ,,,,XU100
47,HEKTS,41,Agricultural Inputs,Basic Materials,HALKB,80,T. HALK BANKASI ,XU100,XU100,XU100,XU100
48,HLGYO,108,REIT/Diversified,Real Estate,HEKTS,42,HEKTAŞ ,XU100,XU100,XU100,XU100
49,HURGZ,42,Publishing,Communication Services,HLGYO,111,HALK GMYO ,,,,XU100
50,ICBCT,43,Banks/Regional,Financial Services,HURGZ,43,HÜRRİYET GZT. ,XU100,XU100,XU100,
51,IEYHO,99,Textile Manufacturing,Consumer Cyclical,ICBCT,44,ICBC TURKEY BANK,XU100,XU100,XU100,XU100
52,IHLAS,44,Conglomerates,Industrials,IEYHO,100,IŞIKLAR ENERJİ YAPI HOL. ,,XU100,XU100,XU100
53,IHLGM,45,Real Estate/Diversified,Real Estate,IHLAS,45,İHLAS HOLDİNG ,XU100,XU100,XU100,XU100
54,INDES,46,Computer Hardware,Technology,IHLGM,46,İHLAS MADENCİLİK ,XU100,XU100,XU100,XU100
55,IPEKE,47,Gold,Basic Materials,INDES,47,İNDEKS BİLGİSAYAR ,XU100,XU100,XU100,
56,ISCTR,48,Banks/Regional,Financial Services,IPEKE,48,İPEK DOĞAL ENERJİ ,XU100,XU100,XU100,XU100
57,ISDMR,112,Steel,Basic Materials,ISCTR,49,İŞ BANKASI (C) ,XU100,XU100,XU100,XU100
58,ISFIN,100,Credit Services,Financial Services,ISDMR,50,İSKENDERUN DEMİR ÇELİK,XU100,XU100,XU100,XU100
59,ISGYO,49,REIT/Diversified,Real Estate,ISFIN,101,İŞ FİN.KİR. ,,XU100,XU100,XU100
60,ITTFH,50,Conglomerates,Industrials,ISGYO,51,İŞ GMYO ,XU100,XU100,XU100,
61,KARSN,51,Auto Manufacturers,Consumer Cyclical,ITTFH,52,İTTİFAK HOLDİNG ,XU100,XU100,XU100,XU100
62,KARTN,52,Packaging & Containers,Consumer Cyclical,KARSN,54,KARSAN OTOMOTİV ,XU100,XU100,XU100,XU100
63,KCHOL,53,Conglomerates,Industrials,KARTN,55,KARTONSAN ,XU100,XU100,,
64,KERVT,54,Packaged Foods,Consumer Defensive,KCHOL,57,KOÇ HOLDİNG ,XU100,XU100,XU100,XU100
65,KONYA,105,Building Materials,Basic Materials,KERVT,56,KEREVİTAŞ GIDA ,XU100,XU100,XU100,XU100
66,KORDS,55,Textile Manufacturing,Consumer Cyclical,KONYA,107,KONYA ÇİMENTO ,,,XU100,XU100
67,KOZAA,56,Other Industrial Metals & Mining,Basic Materials,KORDS,58,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100
68,KOZAL,57,Gold,Basic Materials,KOZAA,60,KOZA MADENCİLİK ,XU100,XU100,XU100,XU100
69,KRDMD,58,Steel,Basic Materials,KOZAL,59,KOZA ALTIN ,XU100,XU100,XU100,XU100
70,MAVI,59,Apparel Retail,Consumer Cyclical,KRDMD,53,KARDEMİR (D) ,XU100,XU100,XU100,XU100
71,METRO,60,Packaged Foods,Consumer Defensive,MAVI,61,MAVI GIYIM,XU100,XU100,XU100,XU100
72,MGROS,61,Grocery Stores,Consumer Defensive,METRO,63,METRO HOLDİNG ,XU100,XU100,XU100,XU100
73,MPARK,62,Medical Care Facilities,Healthcare,MGROS,64,MİGROS TİCARET ,XU100,XU100,XU100,XU100
74,NETAS,63,Communication Equipment,Technology,MPARK,62,MLP SAGLIK,XU100,XU100,XU100,XU100
75,NTHOL,64,Travel Services,Consumer Cyclical,NETAS,66,NETAŞ TELEKOM. ,XU100,XU100,XU100,XU100
76,ODAS,65,Utilities/Regulated Electric,Utilities,NTHOL,65,NET HOLDİNG ,XU100,XU100,XU100,XU100
77,OTKAR,66,Auto Manufacturers,Consumer Cyclical,ODAS,67,ODAŞ ELEKTRİK ,XU100,XU100,XU100,XU100
78,PARSN,67,Specialty Industrial Machinery,Industrials,OTKAR,68,OTOKAR ,XU100,XU100,XU100,XU100
79,PETKM,68,Chemicals,Basic Materials,OZGYO,102,ÖZDERİCİ GMYO ,,XU100,XU100,
80,PGSUS,69,Airlines,Industrials,PARSN,70,PARSAN ,XU100,XU100,XU100,XU100
81,POLHO,70,Specialty Chemicals,Basic Materials,PETKM,72,PETKİM ,XU100,XU100,XU100,XU100
82,PRKME,71,Thermal Coal,Energy,PGSUS,71,PEGASUS,XU100,XU100,XU100,XU100
83,SAHOL,72,Banks/Regional,Financial Services,POLHO,73,POLİSAN HOLDİNG ,XU100,XU100,XU100,XU100
84,SARKY,73,Copper,Basic Materials,PRKME,69,PARK ELEK.MADENCİLİK ,XU100,XU100,XU100,XU100
85,SASA,74,Textile Manufacturing,Consumer Cyclical,SAHOL,74,SABANCI HOLDİNG ,XU100,XU100,XU100,XU100
86,SISE,75,Specialty Chemicals,Basic Materials,SASA,75,SASA POLYESTER ,XU100,XU100,XU100,XU100
87,SKBNK,76,Banks/Regional,Financial Services,SISE,79,ŞİŞE CAM ,XU100,XU100,XU100,XU100
88,SODA,77,BIRLES,BIRLES,SKBNK,78,ŞEKERBANK ,XU100,XU100,XU100,XU100
89,SOKM,78,Department Stores,Consumer Cyclical,SODA,76,SODA SANAYİİ ,XU100,XU100,XU100,XU100
90,TATGD,79,Packaged Foods,Consumer Defensive,SOKM,77,ŞOK MARKETLER TİCARET,XU100,XU100,XU100,XU100
91,TAVHL,80,Airports & Air Services,Industrials,TATGD,82,TAT GIDA  ,XU100,XU100,,
92,TCELL,81,Telecom Services,Communication Services,TAVHL,83,TAV HAVALİMANLARI ,XU100,XU100,XU100,XU100
93,THYAO,82,Airlines,Industrials,TCELL,87,TURKCELL ,XU100,XU100,XU100,XU100
94,TKFEN,83,Engineering & Construction,Industrials,THYAO,90,TÜRK HAVA YOLLARI ,XU100,XU100,XU100,XU100
95,TMSN,84,Farm & Heavy Construction Machinery,Industrials,TKFEN,84,TEKFEN HOLDİNG ,XU100,XU100,XU100,XU100
96,TOASO,85,Auto Manufacturers,Consumer Cyclical,TMSN,88,TÜMOSAN MOTOR VE TRAKTÖR ,XU100,XU100,XU100,XU100
97,TRGYO,109,REIT/Retail,Real Estate,TOASO,85,TOFAŞ OTO. FAB. ,XU100,XU100,XU100,XU100
98,TRKCM,86,BIRLES,BIRLES,TRGYO,112,TORUNLAR GMYO ,,,,XU100
99,TSKB,87,Banks/Regional,Financial Services,TRKCM,86,TRAKYA CAM ,XU100,XU100,XU100,XU100
100,TSPOR,101,Broadcasting,Communication Services,TSKB,81,T.S.K.B. ,XU100,XU100,XU100,XU100
101,TTKOM,88,Telecom Services,Communication Services,TSPOR,103,TRABZONSPOR SPORTİF ,,XU100,,
102,TTRAK,89,Farm & Heavy Construction Machinery,Industrials,TTKOM,91,TÜRK TELEKOM ,XU100,XU100,XU100,XU100
103,TUKAS,106,Packaged Foods,Consumer Defensive,TTRAK,92,TÜRK TRAKTÖR ,XU100,XU100,XU100,XU100
104,TUPRS,90,Oil & Gas Refining & Marketing,Energy,TUKAS,108,TUKAŞ ,,,XU100,XU100
105,TURSG,91,Insurance/Property & Casualty,Financial Services,TUPRS,89,TÜPRAŞ ,XU100,XU100,XU100,XU100
106,ULKER,92,Confectioners,Consumer Defensive,ULKER,93,ÜLKER BİSKÜVİ ,XU100,XU100,XU100,XU100
107,VAKBN,93,Banks/Regional,Financial Services,VAKBN,94,VAKIFLAR BANKASI ,XU100,XU100,XU100,XU100
108,VERUS,94,Asset Management,Financial Services,VERUS,95,VERUSA HOLDİNG ,XU100,XU100,XU100,XU100
109,VESTL,95,Consumer Electronics,Technology,VESTL,96,VESTEL ,XU100,XU100,XU100,XU100
110,YATAS,96,Furnishings & Fixtures & Appliances,Consumer Cyclical,YATAS,98,YATAŞ ,XU100,XU100,XU100,XU100
111,YKBNK,97,Banks/Regional,Financial Services,YKBNK,97,YAPI VE KREDİ BANK. ,XU100,XU100,XU100,XU100
112,ZOREN,98,Utilities/Diversified,Utilities,ZOREN,99,ZORLU ENERJİ ,XU100,XU100,XU100,XU100
