,HISSE,INDUSTRY-22,SEKTOR-22,INDUSTRY-21,SEKTOR-21,INDUSTRY-20,SEKTOR-20,INDUSTRY-19,SEKTOR-19
77,HEKTS,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
78,HLGYO,,,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate
79,HURGZ,,,,,,,Publishing,Communication Services
80,ICBCT,,,,,,,Banks/Regional,Financial Services
81,IEYHO,,,,,,,Textile Manufacturing,Consumer Cyclical
82,IHLAS,,,Conglomerates,Industrials,,,Conglomerates,Industrials
83,IHLGM,,,Real Estate/Diversified,Real Estate,,,Real Estate/Diversified,Real Estate
84,INDES,Computer Hardware,Technology,Computer Hardware,Technology,Computer Hardware,Technology,Computer Hardware,Technology
85,INVES,Asset Management,Financial Services,,,,,,
86,IPEKE,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials
87,ISCTR,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
88,ISDMR,Steel,Basic Materials,Steel,Basic Materials,,,Steel,Basic Materials
89,ISFIN,Credit Services,Financial Services,Credit Services,Financial Services,Credit Services,Financial Services,Credit Services,Financial Services
90,ISGYO,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate
91,ISMEN,Capital Markets,Financial Services,Capital Markets,Financial Services,Capital Markets,Financial Services,,
92,ITTFH,,,,,,,Conglomerates,Industrials
93,IZMDC,Steel,Basic Materials,Steel,Basic Materials,,,,
94,JANTS,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,,,,
95,KAREL,,,,,Communication Equipment,Technology,,
96,KARSN,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
97,KARTN,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical
98,KCHOL,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
99,KERVT,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive
100,KLMSN,,,,,Specialty Industrial Machinery,Industrials,,
101,KONTR,Conglomerates,Industrials,,,,,,
102,KONYA,,,Building Materials,Basic Materials,,,Building Materials,Basic Materials
103,KORDS,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
104,KOZAA,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials
105,KOZAL,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials
106,KRDMD,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
107,KRVGD,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,,,,
108,KUTPO,Furnishings & Fixtures & Appliances,Consumer Cyclical,,,,,,
109,KZBGY,REIT/Hotel & Motel,Real Estate,,,,,,
110,LOGO,Software/Application,Technology,Software/Application,Technology,Software/Application,Technology,,
111,MAVI,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical
112,METRO,,,,,,,Packaged Foods,Consumer Defensive
113,MGROS,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive
114,MPARK,,,Medical Care Facilities,Healthcare,Medical Care Facilities,Healthcare,Medical Care Facilities,Healthcare
115,NETAS,,,Communication Equipment,Technology,Communication Equipment,Technology,Communication Equipment,Technology
116,NTHOL,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical
117,NUGYO,REIT/Diversified,Real Estate,,,,,,
118,NUHCM,,,Building Materials,Basic Materials,,,,
119,ODAS,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities
120,OTKAR,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
121,OYAKC,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials,,
122,OZKGY,,,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,,
123,PARSN,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery,Industrials,,,Specialty Industrial Machinery,Industrials
124,PETKM,Chemicals,Basic Materials,Chemicals,Basic Materials,Chemicals,Basic Materials,Chemicals,Basic Materials
125,PETUN,,,,,Packaged Foods,Consumer Defensive,,
126,PGSUS,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials
127,PNSUT,,,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,,
128,POLHO,,,Specialty Chemicals,Basic Materials,,,Specialty Chemicals,Basic Materials
129,PRKAB,Electrical Equipment & Parts,Industrials,,,,,,
130,PRKME,,,,,,,Thermal Coal,Energy
131,PSGYO,REIT/Diversified,Real Estate,,,,,,
132,QUAGR,Building Products & Equipment,Industrials,Building Products & Equipment,Industrials,,,,
133,RTALB,Biotechnology,Healthcare,Biotechnology,Healthcare,,,,
134,RYGYO,,,,,REIT/Industrial,Real Estate,,
135,SAHOL,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
136,SARKY,Copper,Basic Materials,Copper,Basic Materials,Copper,Basic Materials,Copper,Basic Materials
137,SASA,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
138,SELEC,Pharmaceutical Retailers,Healthcare,Pharmaceutical Retailers,Healthcare,Pharmaceutical Retailers,Healthcare,,
139,SISE,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials
140,SKBNK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
141,SMRTG,Solar,Technology,,,,,,
142,SNGYO,REIT/Residential,Real Estate,,,,,,
143,SODA,,,,,BIRLES,BIRLES,BIRLES,BIRLES
144,SOKM,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical
145,TATGD,,,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive
146,TAVHL,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials
147,TCELL,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
148,THYAO,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials
149,TKFEN,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials
150,TKNSA,Specialty Retail,Consumer Cyclical,Specialty Retail,Consumer Cyclical,,,,
151,TMSN,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
