,HISSE,Unnamed: 0,INDUSTRY-21,SEKTOR-21,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
88,OTKAR,68,Auto Manufacturers,Consumer Cyclical,OTKAR,68,OTOKAR,XU100,XU100,XU100,XU100,XU100
89,OYAKC,69,Building Materials,Basic Materials,OYAKC,69,OYAK CIMENTO,XU100,XU100,XU100,XU100,XU100
90,OZKGY,70,REIT/Diversified,Real Estate,OZKGY,70,OZAK GMYO,XU100,,,,
91,PARSN,129,Specialty Industrial Machinery,Industrials,PARSN,107,PARSAN,,XU100,XU100,XU100,XU100
92,PETKM,71,Chemicals,Basic Materials,PETKM,72,PETKIM,XU100,XU100,XU100,XU100,XU100
93,PGSUS,72,Airlines,Industrials,PGSUS,71,PEGASUS,XU100,XU100,XU100,XU100,XU100
94,PNSUT,73,Packaged Foods,Consumer Defensive,PNSUT,73,PINAR SUT,XU100,,,,
95,POLHO,105,Specialty Chemicals,Basic Materials,POLHO,108,POLISAN HOLDING,,XU100,XU100,,
96,QUAGR,122,Building Products & Equipment,Industrials,QUAGR,124,QUA GRANITE HAYAL YAPI,,,,,XU100
97,RTALB,114,Biotechnology,Healthcare,RTALB,118,RTA LABORATUVARLARI,,,,XU100,
98,SAHOL,74,Banks/Regional,Financial Services,SAHOL,74,SABANCI HOLDING,XU100,XU100,XU100,XU100,XU100
99,SARKY,123,Copper,Basic Materials,SARKY,126,SARKUYSAN,,,,,XU100
100,SASA,75,Textile Manufacturing,Consumer Cyclical,SASA,75,SASA POLYESTER,XU100,XU100,XU100,XU100,XU100
101,SELEC,76,Pharmaceutical Retailers,Healthcare,SELEC,76,SELCUK ECZA DEPOSU,XU100,XU100,XU100,XU100,XU100
102,SISE,77,Specialty Chemicals,Basic Materials,SISE,79,SISE CAM,XU100,XU100,XU100,XU100,XU100
103,SKBNK,78,Banks/Regional,Financial Services,SKBNK,78,SEKERBANK,XU100,XU100,XU100,XU100,XU100
104,SOKM,79,Department Stores,Consumer Cyclical,SOKM,77,SOK MARKETLER TICARET,XU100,XU100,XU100,XU100,XU100
105,TATGD,80,Packaged Foods,Consumer Defensive,TATGD,82,TAT GIDA,XU100,XU100,XU100,,
106,TAVHL,81,Airports & Air Services,Industrials,TAVHL,83,TAV HAVALIMANLARI,XU100,XU100,XU100,XU100,XU100
